Word,English
二日,two days / the second day
五,five
五つ,five (things)
五日,five days / the fifth day
交差点,intersection
交番,police box
人,person
今,now
今年,this year
今日,today
今晩,tonight
今月,this month
今朝,this morning
今週,this week
仕事,work / job
休み,rest / holiday
休む,to rest / take a break
会う,to meet
会社,company
低い,low
住む,to live / reside
体,body
作る,to make
作文,composition / essay
使う,to use
便利,convenient
借りる,to borrow
傘,umbrella
働く,to work
元気,healthy / energetic
兄,older brother
兄弟,brothers / siblings
先,before / ahead
先月,last month
先生,teacher
先週,last week
入る,to enter
入れる,to put in
入口,entrance
全部,all / everything
八,eight
八つ,eight (things)
八日,eight days / the eighth day
八百屋,greengrocer
公園,park
六,six
六つ,six (things)
六日,six days / the sixth day
写真,photograph
冬,winter
冷たい,cold (to the touch)
冷蔵庫,refrigerator
出かける,to go out
出す,to take out
出る,to go out / leave
出口,exit
分かる,to understand
切る,to cut
切手,stamp
切符,ticket
前,front / before
勉強,study
動物,animal
勤める,to work for
北,north
医者,doctor
十,ten
十日,ten days / the tenth day
千,thousand
午前,morning / a.m.
午後,afternoon / p.m.
半,half
半分,half portion
南,south
危ない,dangerous
卵,egg
厚い,thick
去年,last year
友達,friend
取る,to take
口,mouth
古い,old
可愛い,cute
台所,kitchen
右,right
名前,name
向こう,over there / opposite side
吸う,to smoke / inhale
吹く,to blow
呼ぶ,to call
咲く,to bloom
問題,problem / question
喫茶店,café
四,four
四つ,four (things)
四日,four days / the fourth day
困る,to be troubled
図書館,library
国,country
土曜日,Saturday
在る,to exist (inanimate)
地下鉄,subway
地図,map
塩,salt
声,voice
売る,to sell
夏,summer
夏休み,summer vacation
夕方,evening
夕飯,dinner
外,outside
外国,foreign country
外国人,foreigner
多い,many
夜,night
大きい,big
大人,adult
大使館,embassy
大勢,many people
大学,university
天気,weather
太い,thick / fat
奥さん,wife
女,woman
女の子,girl
妹,younger sister
姉,older sister
始まる,to begin
嫌い,dislike
子供,child
字引,dictionary
学校,school
学生,student
安い,cheap
家,house
家庭,home / household
家族,family
宿題,homework
寒い,cold (weather)
寝る,to sleep
封筒,envelope
小さい,small
少ない,few
居る,to exist (animate)
山,mountain
左,left
差す,to open (umbrella) / point
帰る,to return
帽子,hat
平仮名,hiragana
年,year
広い,wide
店,shop
座る,to sit
庭,garden
廊下,corridor
建物,building
引く,to pull
弟,younger brother
弱い,weak
強い,strong
弾く,to play (string instrument)
待つ,to wait
後,after
後ろ,behind
御飯,rice / meal
忘れる,to forget
忙しい,busy
悪い,bad
意味,meaning
戸,door
所,place
手,hand
手紙,letter
押す,to push
持つ,to hold
掃除,cleaning
授業,class / lesson
掛ける,to hang / to call
撮る,to take (a photo)
教える,to teach
教室,classroom
散歩,walk / stroll
文章,sentence / text
料理,cooking / cuisine
新しい,new
新聞,newspaper
方,way / direction
旅行,travel
日曜日,Sunday
早い,early / fast
明るい,bright
明後日,the day after tomorrow
明日,tomorrow
易しい,easy
映画,movie
映画館,movie theater
春,spring
昨夜,last night
昨日,yesterday
昼,noon / daytime
昼御飯,lunch
時々,sometimes
時計,clock / watch
時間,time
晩,evening
晩御飯,dinner
晴れ,sunny weather
晴れる,to clear up
暇,free time
暑い,hot (weather)
暖かい,warm
暗い,dark
曇り,cloudy weather
曇る,to become cloudy
曲る,to turn / bend
書く,to write
月曜日,Monday
有る,to exist (inanimate)
服,clothes
朝,morning
朝御飯,breakfast
木,tree
木曜日,Thursday
本,book
本当,true / real
本棚,bookshelf
机,desk
村,village
来る,to come
来年,next year
来月,next month
来週,next week
東,east
果物,fruit
椅子,chair
楽しい,fun
横,side
橋,bridge
次,next
欲しい,want
歌,song
歌う,to sing
止まる,to stop
歩く,to walk
歯,tooth
死ぬ,to die
段々,gradually
母,mother
毎年,every year
毎日,every day
毎晩,every night
毎月,every month
毎朝,every morning
毎週,every week
水,water
水曜日,Wednesday
汚い,dirty
池,pond
泳ぐ,to swim
洋服,western clothes
洗う,to wash
洗濯,laundry
浴びる,to bathe / shower
海,sea
消える,to disappear
消す,to erase / turn off
涼しい,cool
渡す,to hand over
渡る,to cross
温い,lukewarm
漢字,kanji
火曜日,Tuesday
灰皿,ashtray
無くす,to lose
熱い,hot (to the touch)
父,father
片仮名,katakana
牛乳,milk
牛肉,beef
物,thing
犬,dog
狭い,narrow
猫,cat
玄関,entrance
甘い,sweet
生まれる,to be born
生徒,student
男,man
男の子,boy
町,town
留学生,international student
番号,number
疲れる,to get tired
病気,illness
病院,hospital
痛い,painful
登る,to climb
白,white
白い,white (adjective)
百,hundred
皆さん,everyone
目,eye
眼鏡,glasses
着く,to arrive
着る,to wear
知る,to know
短い,short
石鹸,soap
砂糖,sugar
磨く,to brush / polish
秋,autumn
空,sky
窓,window
立つ,to stand
答える,to answer
箱,box
箸,chopsticks
紅茶,black tea
紙,paper
細い,thin
終る,to finish
結婚,marriage
絵,picture
緑,green
締める,to tighten / close
練習,practice
置く,to put
美味しい,delicious
習う,to learn
耳,ear
聞く,to listen / hear
肉,meat
背,back / height
背広,business suit
脱ぐ,to take off (clothes)
自分,oneself
自動車,automobile
自転車,bicycle
色,color
花,flower
花瓶,flower vase
若い,young
英語,English language
茶碗,rice bowl
茶色,brown
荷物,luggage
葉書,postcard
薄い,thin / light
薬,medicine
行く,to go
西,west
要る,to need
見せる,to show
見る,to see
覚える,to remember
角,corner / angle
言う,to say
言葉,word / language
話,story / talk
話す,to speak
誕生日,birthday
読む,to read
警官,police officer
豚肉,pork
財布,wallet
買い物,shopping
買う,to buy
貸す,to lend
貼る,to stick / paste
質問,question
赤,red
赤い,red (adjective)
走る,to run
起きる,to wake up
車,car
軽い,light (weight)
辛い,spicy / painful
辞書,dictionary
辺,area / vicinity
近い,near
近く,nearby
返す,to return
速い,fast
遅い,slow / late
遊ぶ,to play
道,road
違う,different
遠い,far
部屋,room
郵便局,post office
醤油,soy sauce
重い,heavy
野菜,vegetables
金曜日,Friday
鉛筆,pencil
銀行,bank
鍵,key
長い,long
門,gate
閉まる,to close (intransitive)
閉める,to close (transitive)
開く,to open (intransitive)
開ける,to open (transitive)
降りる,to get off
降る,to fall (rain/snow)
階段,stairs
隣,next door
雑誌,magazine
難しい,difficult
雨,rain
雪,snow
零,zero
電気,electricity / light
電話,telephone
電車,train
青,blue
青い,blue (adjective)
面白い,interesting / funny
靴,shoes
靴下,socks
音楽,music
頭,head
頼む,to ask / request
顔,face
風,wind
風邪,cold (illness)
飛ぶ,to fly
飛行機,airplane
食べる,to eat
食べ物,food
食堂,cafeteria
飲み物,drink
飲む,to drink
飴,candy
駅,station
高い,high / expensive
魚,fish
鳥,bird
鳴く,to chirp / cry
鶏肉,chicken meat
黄色,yellow
黄色い,yellow (adjective)
黒,black
黒い,black (adjective)
鼻,nose
